transaction_id,customer_id,age_group,gender,city,customer_segment,product_id,product_category,original_price,discount_pct,final_price,quantity,purchase_amount,payment_method,purchase_date,purchase_hour,is_weekend,is_black_friday,purchase_level
T0000001,C007297,26-35,Male,San Francisco,Loyal,P2713,Footwear,153.73,35,99.92,1,99.92,Credit Card,01-12-25,0,0,0,Low
T0000002,C001640,56+,Other,Dallas,Returning,P7219,Beauty,230.05,40,138.03,1,138.03,PayPal,24-11-25,5,0,0,Low
T0000003,C018025,26-35,Male,Phoenix,New,P5521,Groceries,174.67,25,131,1,131,Credit Card,24-11-25,14,0,0,Low
T0000004,C016050,18-25,Other,Miami,VIP,P3003,Sports,399.61,40,239.77,1,239.77,Credit Card,30-11-25,23,1,0,Medium
T0000005,C014629,46-55,Male,Los Angeles,Loyal,P4633,Footwear,120.87,30,84.61,2,169.22,Debit Card,25-11-25,2,0,0,Low
T0000006,C009145,46-55,Other,Seattle,Returning,P4013,Accessories,192.91,40,115.75,1,115.75,Gift Card,01-12-25,17,0,0,Low
T0000007,C006718,46-55,Female,San Francisco,Returning,P1445,Home & Kitchen,792.57,25,594.43,1,594.43,Credit Card,24-11-25,5,0,0,High
T0000008,C005698,46-55,Female,Seattle,Returning,P7501,Footwear,209.35,25,157.01,4,628.04,PayPal,27-11-25,17,0,0,High
T0000009,C027652,36-45,Female,Los Angeles,Returning,P4350,Groceries,114.32,35,74.31,2,148.62,Cash,01-12-25,18,0,0,Low
T0000010,C002083,36-45,Other,San Francisco,New,P6243,Sports,265.56,30,185.89,1,185.89,Debit Card,27-11-25,5,0,0,Low
T0000011,C001953,18-25,Other,New York,New,P9905,Beauty,31.66,20,25.33,1,25.33,Mobile Wallet,26-11-25,10,0,0,Low
T0000012,C006141,26-35,Other,San Francisco,Returning,P8474,Groceries,28.7,20,22.96,5,114.8,Debit Card,29-11-25,2,1,0,Low
T0000013,C014329,18-25,Other,Chicago,New,P3499,Groceries,167.89,40,100.73,1,100.73,Gift Card,27-11-25,15,0,0,Low
T0000014,C015248,26-35,Male,Los Angeles,Loyal,P2203,Home & Kitchen,1063.85,50,531.92,1,531.92,Cash,26-11-25,16,0,0,High
T0000015,C033119,36-45,Male,New York,Loyal,P3336,Toys,269.17,30,188.42,1,188.42,Mobile Wallet,28-11-25,10,0,1,Low
T0000016,C001740,26-35,Female,Seattle,New,P6387,Sports,295.26,20,236.21,1,236.21,Cash,01-12-25,12,0,0,Medium
T0000017,C013032,46-55,Male,Phoenix,New,P2433,Clothing,281.94,5,267.84,1,267.84,Credit Card,24-11-25,15,0,0,Medium
T0000018,C027494,26-35,Female,Houston,New,P7967,Groceries,168.35,20,134.68,2,269.36,Gift Card,29-11-25,13,1,0,Medium
